active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
12,1536,2,"[1536, 6144, 6144]",512,3097.46,14689.79,14.35,0,-10990748,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",512,14689.79,51626.12,50.42,0,-48813548,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",256,51626.12,388.12,0.38,91.55,0.71,240,320,4,3205.667,2397.667,41948.889,112.778,47.889,18.0,47712.889,"[88, 216, 146, 200, 130]","[88, 216, 146, 200, 130]"
12,1536,1,"[1536, 6144, 6144]",256,388.12,2710.46,2.65,91.55,2.97,240,320,4,3204.667,2396.889,293078.0,115.222,47.0,16.889,298841.778,"[87, 140, 66, 66, 66]","[87, 140, 66, 66, 66]"
12,1536,2,"[1536, 6144, 6144]",256,2710.46,13150.79,12.84,0,-9414812,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",256,13150.79,50087.12,48.91,0,-47237612,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",128,50087.12,194.62,0.19,91.05,0.52,240,320,4,3206.556,2398.889,21028.889,61.556,24.333,10.222,26720.222,"[121, 19, 99, 83, 83]","[121, 19, 99, 83, 83]"
12,1536,1,"[1536, 6144, 6144]",128,194.62,2516.96,2.46,91.05,2.79,240,320,4,3205.222,2397.444,272149.111,59.556,23.222,9.667,277834.556,"[87, 56, 65, 87, 12]","[87, 56, 65, 87, 12]"
12,1536,2,"[1536, 6144, 6144]",128,2516.96,12381.29,12.09,0,-8626844,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",128,12381.29,49317.62,48.16,0,-46449644,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",64,49317.62,97.88,0.1,90.8,0.42,240,320,4,3205.0,2397.889,10567.222,33.778,12.556,5.778,16216.444,"[7, 48, 16, 11, 11]","[7, 48, 16, 11, 11]"
12,1536,1,"[1536, 6144, 6144]",64,97.88,2420.21,2.36,90.8,2.69,240,320,4,3207.333,2397.667,261685.889,34.0,12.667,6.667,267337.556,"[27, 54, 27, 45, 54]","[27, 54, 27, 45, 54]"
12,1536,2,"[1536, 6144, 6144]",64,2420.21,11996.54,11.72,0,-8232860,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",64,11996.54,48932.87,47.79,0,-46055660,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",1024,48932.87,2061.12,2.01,98.55,2.36,240,320,4,4294.333,3203.0,223062.333,441.778,192.444,64.0,231193.889,"[672, 301, 522, 360, 443]","[672, 301, 522, 360, 443]"
16,2048,1,"[2048, 8192, 8192]",1024,2061.12,6181.46,6.04,0,-2278220,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",1024,6181.46,28805.79,28.13,0,-25445532,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",1024,28805.79,94438.12,92.22,0,-92653036,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",512,94438.12,1031.12,1.01,96.55,1.35,240,320,4,4292.111,3203.556,111583.667,221.444,97.222,34.0,119398.0,"[159, 457, 24, 469, 354]","[159, 457, 24, 469, 354]"
16,2048,1,"[2048, 8192, 8192]",512,1031.12,5151.46,5.03,0,-1223500,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",512,5151.46,24703.79,24.12,0,-21245084,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",512,24703.79,90336.12,88.22,0,-88452588,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
